number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9932835820895523,2026-08-13 11:59:10.649426,2026-08-13 11:59:11.160858,0 days 00:00:00.511432,0.5967983561008608,0.7032926425886981,0.05107988650278712,4,14,162,1.734451662584154,3.9913058785616786,0.6890046601106091,COMPLETE
1,0.9393688054251434,2026-08-13 11:59:11.162357,2026-08-13 11:59:11.800155,0 days 00:00:00.637798,0.6045474901621302,1.1419157844870185,0.076070187687831,2,18,236,0.17376356936978749,3.347776308515933,0.703084777669569,COMPLETE
2,0.9932835820895523,2026-08-13 11:59:11.801726,2026-08-13 11:59:12.332450,0 days 00:00:00.530724,0.6599085529881076,2.0962449447596256,0.041774141666190576,2,7,175,1.2448918446337816,1.5837031559118748,0.7230361621338046,COMPLETE
3,0.9932835820895523,2026-08-13 11:59:12.333646,2026-08-13 11:59:12.886395,0 days 00:00:00.552749,0.5695154778955839,3.8210993803866664,0.016212897984188946,3,14,193,2.6062124275474297,6.432759992849893,0.6926310309218229,COMPLETE
4,0.9932835820895523,2026-08-13 11:59:12.887884,2026-08-13 11:59:13.318660,0 days 00:00:00.430776,0.6985530730333811,0.6203598239032644,0.04715500540203623,2,12,147,2.0695656824364437,1.8145961353490248,0.6805095587111947,COMPLETE
5,0.9978260869565218,2026-08-13 11:59:13.320064,2026-08-13 11:59:13.919919,0 days 00:00:00.599855,0.8408753883293676,3.212964881763901,0.03582449267480054,2,13,226,2.3417537373087383,7.849235338159358,0.6962136138813818,COMPLETE
6,0.9932835820895523,2026-08-13 11:59:13.921583,2026-08-13 11:59:14.560898,0 days 00:00:00.639315,0.6475990992289793,1.860370513913187,0.017395030536618977,4,8,212,0.1518691717630621,6.741204610702761,0.6613068222276346,COMPLETE
7,0.9932835820895523,2026-08-13 11:59:14.562355,2026-08-13 11:59:15.039375,0 days 00:00:00.477020,0.5723651931039313,3.9541042781018105,0.03720751120093237,2,7,158,1.180695767657746,1.580213186410388,0.8505492451885099,COMPLETE
8,0.9932835820895523,2026-08-13 11:59:15.040806,2026-08-13 11:59:15.318573,0 days 00:00:00.277767,0.5722133955202271,1.754630049904954,0.04897513579657866,4,16,81,0.08035311499213377,7.296312489711155,0.8428175866714864,COMPLETE
9,0.9932835820895523,2026-08-13 11:59:15.319806,2026-08-13 11:59:15.964642,0 days 00:00:00.644836,0.7688818535014192,2.731451149743246,0.01668392000546716,2,9,217,1.89046417574007,2.9662989987000667,0.7312958305066868,COMPLETE
10,0.9932835820895523,2026-08-13 11:59:15.966252,2026-08-13 11:59:16.692412,0 days 00:00:00.726160,0.8222994385847553,3.1050559862355684,0.02680988471284898,3,19,293,0.5832086290758022,9.043412466637328,0.779696099283387,COMPLETE
