number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.967391304347826,2026-08-13 11:47:01.131340,2026-08-13 11:47:01.892546,0 days 00:00:00.761206,0.7691768330659452,0.9123114856316257,0.023507216593069237,3,8,231,0.3332889405264865,2.918162322099346,0.8270226052205061,COMPLETE
1,0.967391304347826,2026-08-13 11:47:01.894783,2026-08-13 11:47:02.246010,0 days 00:00:00.351227,0.7934597633249892,2.454066006172375,0.049808461001283,2,6,83,0.13568826671535603,3.4881921441912764,0.7277232220729517,COMPLETE
2,0.967391304347826,2026-08-13 11:47:02.249000,2026-08-13 11:47:02.956867,0 days 00:00:00.707867,0.525998549310068,0.10954367449109727,0.06028662703762762,5,8,258,1.2256187274471881,6.787354033406841,0.7552221894462823,COMPLETE
3,0.967391304347826,2026-08-13 11:47:02.958927,2026-08-13 11:47:03.660125,0 days 00:00:00.701198,0.5436577282831804,0.302963074948434,0.039932641452321394,4,11,277,0.26958149906784823,1.4142633416428558,0.6873061799326748,COMPLETE
4,0.967391304347826,2026-08-13 11:47:03.662770,2026-08-13 11:47:04.361401,0 days 00:00:00.698631,0.6106583332015716,0.5230791308698779,0.016042189174077154,3,10,206,0.05058123240879107,7.8093683767457485,0.846340431781932,COMPLETE
5,0.967391304347826,2026-08-13 11:47:04.364618,2026-08-13 11:47:05.044122,0 days 00:00:00.679504,0.5848396670960039,2.5296681111514236,0.017168176239388173,4,7,217,0.016581922475270086,4.588014594872895,0.7379898252114068,COMPLETE
6,0.967391304347826,2026-08-13 11:47:05.046292,2026-08-13 11:47:05.463974,0 days 00:00:00.417682,0.7782441061289351,2.4232132747981274,0.012551295976488387,2,10,102,0.384170373100965,1.4214880017384302,0.8180798337328802,COMPLETE
7,0.967391304347826,2026-08-13 11:47:05.466352,2026-08-13 11:47:06.118517,0 days 00:00:00.652165,0.571586436806417,2.9602133500500356,0.03608434835341154,3,4,224,0.2081958006858498,3.240615937783056,0.7671922921141967,COMPLETE
8,0.967391304347826,2026-08-13 11:47:06.120700,2026-08-13 11:47:06.649617,0 days 00:00:00.528917,0.613507438229052,2.6996683241901565,0.017777762367631993,2,8,157,0.10676857261847197,2.677046366256064,0.7228645730421395,COMPLETE
9,0.967391304347826,2026-08-13 11:47:06.652401,2026-08-13 11:47:07.088826,0 days 00:00:00.436425,0.6278421465877788,2.1183390653495393,0.06660329818244773,4,7,141,1.6409124213524127,6.245708241915483,0.7614417550442196,COMPLETE
10,0.967391304347826,2026-08-13 11:47:07.090698,2026-08-13 11:47:07.589910,0 days 00:00:00.499212,0.7126696551739646,1.3402242965449362,0.02622352273160804,5,15,162,0.012444052266171885,1.0117495742970983,0.899083979302836,COMPLETE
11,0.967391304347826,2026-08-13 11:47:07.592663,2026-08-13 11:47:07.978582,0 days 00:00:00.385919,0.819144242191236,1.4931735680179405,0.033018857932587437,3,3,83,0.5830310852307499,2.802349481066923,0.6511025301305846,COMPLETE
12,0.967391304347826,2026-08-13 11:47:07.980556,2026-08-13 11:47:08.840266,0 days 00:00:00.859710,0.720896609589049,0.987114849104919,0.024980936655820036,2,5,297,0.07622115591999881,3.6387001397618404,0.8097273415760623,COMPLETE
13,0.967391304347826,2026-08-13 11:47:08.842850,2026-08-13 11:47:09.301480,0 days 00:00:00.458630,0.8362327750385491,1.9018537558683055,0.052247006581227086,3,6,124,0.1412478729274487,1.9761417152452587,0.8954901648553254,COMPLETE
14,0.967391304347826,2026-08-13 11:47:09.304378,2026-08-13 11:47:09.843771,0 days 00:00:00.539393,0.7412220732765181,0.7280371938919297,0.07950731862653768,2,13,181,0.03634152911572226,4.439099453077595,0.8051801510692722,COMPLETE
15,0.967391304347826,2026-08-13 11:47:09.845735,2026-08-13 11:47:10.666929,0 days 00:00:00.821194,0.675979082314108,1.7066823185092623,0.010572644839032084,3,5,249,0.5070554866540605,2.0511282302207863,0.8551729431411941,COMPLETE
16,0.967391304347826,2026-08-13 11:47:10.670126,2026-08-13 11:47:11.204712,0 days 00:00:00.534586,0.7866131003081263,1.0870469357265895,0.04514041372357837,2,9,194,0.8411572090355032,4.896452609405226,0.6978106641170667,COMPLETE
17,0.967391304347826,2026-08-13 11:47:11.207618,2026-08-13 11:47:11.613176,0 days 00:00:00.405558,0.771389601601854,2.152722735369552,0.025977777543799426,3,12,114,0.18777151263283828,9.736976872543117,0.7819167706554041,COMPLETE
18,0.967391304347826,2026-08-13 11:47:11.614932,2026-08-13 11:47:11.975029,0 days 00:00:00.360097,0.6743043018778359,1.2123015823442127,0.02060391042324028,4,3,83,0.026444834896653027,2.193431755255285,0.8567388389808062,COMPLETE
19,0.967391304347826,2026-08-13 11:47:11.977008,2026-08-13 11:47:12.660648,0 days 00:00:00.683640,0.8466963600100071,0.7896319392635398,0.032085282522410864,2,6,240,0.07874627344620293,3.5180975200851003,0.6553448782294271,COMPLETE
